Initial solution: value=19940236, buses=600
Iteration 1: time=19746341, buses=600
Iteration 2: time=19861394, buses=600
Iteration 3: time=20130305, buses=600
Iteration 4: time=24513891, buses=600
Iteration 5: time=19559508, buses=600
Iteration 6: time=20018223, buses=600
Iteration 7: time=19234040, buses=600
Iteration 8: time=24537703, buses=620
Iteration 9: time=18620607, buses=620
Iteration 10: time=19196174, buses=620
Iteration 11: time=18075984, buses=620
Iteration 12: time=23903003, buses=640
Iteration 13: time=18987818, buses=640
Iteration 14: time=20018078, buses=640
Iteration 15: time=19340097, buses=640
Iteration 16: time=23872376, buses=640
Iteration 17: time=18355969, buses=640
Iteration 18: time=19533811, buses=640
Iteration 19: time=18901134, buses=640
Iteration 20: time=23903003, buses=640
Iteration 21: time=18068477, buses=640
Iteration 22: time=18807719, buses=640
Iteration 23: time=19427618, buses=640
Iteration 24: time=23827742, buses=640
Iteration 25: time=18599794, buses=640
Iteration 26: time=19969898, buses=640
Iteration 27: time=19427618, buses=640
Iteration 28: time=24141616, buses=640
Iteration 29: time=18805904, buses=640
Iteration 30: time=19969898, buses=640
Iteration 31: time=19035453, buses=640
Iteration 32: time=23849949, buses=640
Iteration 33: time=18193640, buses=640
Iteration 34: time=18996422, buses=640
Iteration 35: time=19378292, buses=640
Iteration 36: time=24141616, buses=640
Iteration 37: time=17922682, buses=640
Iteration 38: time=19523306, buses=640
Iteration 39: time=18149135, buses=640
Iteration 40: time=25304636, buses=640
Iteration 41: time=18157719, buses=640
Iteration 42: time=19523306, buses=640
Iteration 43: time=19940037, buses=640
Iteration 44: time=25366277, buses=640
Iteration 45: time=18650725, buses=640
Iteration 46: time=19211833, buses=640
Iteration 47: time=18318118, buses=640
Iteration 48: time=25304636, buses=640
Iteration 49: time=18012161, buses=640
Iteration 50: time=18538546, buses=640
Iteration 51: time=18318118, buses=640
Iteration 52: time=24179062, buses=640
Iteration 53: time=17948581, buses=640
Iteration 54: time=19799728, buses=640
Iteration 55: time=18726655, buses=640
Iteration 56: time=23272173, buses=640
Iteration 57: time=18483921, buses=640
Iteration 58: time=18538546, buses=640
Iteration 59: time=18726655, buses=640
Iteration 60: time=25366277, buses=640
Iteration 61: time=18745735, buses=640
Iteration 62: time=18538546, buses=640
Iteration 63: time=18726655, buses=640
Iteration 64: time=23299486, buses=640
Iteration 65: time=20104230, buses=640
Iteration 66: time=19523306, buses=640
Iteration 67: time=19344880, buses=640
Iteration 68: time=24340309, buses=640
Iteration 69: time=18151813, buses=640
Iteration 70: time=19523306, buses=640
Iteration 71: time=18101203, buses=640
Iteration 72: time=24179062, buses=640
Iteration 73: time=17407829, buses=640
Iteration 74: time=19729228, buses=640
Iteration 75: time=18039707, buses=640
Iteration 76: time=24380698, buses=640
Iteration 77: time=17337623, buses=640
Iteration 78: time=17085748, buses=640
Iteration 79: time=17337623, buses=620
Iteration 80: time=24636450, buses=620
Iteration 81: time=17484905, buses=620
Iteration 82: time=18176687, buses=620
Iteration 83: time=18352042, buses=620
Iteration 84: time=24405592, buses=620
Iteration 85: time=17186113, buses=620
Iteration 86: time=18937463, buses=620
Iteration 87: time=18341490, buses=620
Iteration 88: time=23970036, buses=620
Iteration 89: time=17815949, buses=620
Iteration 90: time=17553835, buses=620
Iteration 91: time=18341490, buses=620
Iteration 92: time=24405592, buses=620
Iteration 93: time=17069801, buses=620
Iteration 94: time=18629408, buses=620
Iteration 95: time=18635107, buses=620
Iteration 96: time=23870961, buses=620
Iteration 97: time=17449863, buses=620
Iteration 98: time=18289381, buses=620
Iteration 99: time=18635107, buses=620
Iteration 100: time=23724016, buses=620
Iteration 101: time=16991545, buses=620
Iteration 102: time=17811118, buses=620
Iteration 103: time=18210142, buses=620
Iteration 104: time=23579775, buses=620
Iteration 105: time=17955120, buses=620
Iteration 106: time=18982117, buses=620
Iteration 107: time=18110947, buses=620
Iteration 108: time=23297340, buses=620
Iteration 109: time=17754968, buses=620
Iteration 110: time=19272712, buses=620
Iteration 111: time=17719354, buses=620
Iteration 112: time=23579775, buses=620
Iteration 113: time=17901340, buses=620
Iteration 114: time=19272712, buses=620
Iteration 115: time=17257470, buses=620
Iteration 116: time=23579775, buses=620
Iteration 117: time=17118302, buses=620
Iteration 118: time=17811118, buses=620
Iteration 119: time=17257470, buses=620
Iteration 120: time=23962614, buses=620
Iteration 121: time=17853655, buses=620
Iteration 122: time=18687485, buses=620
Iteration 123: time=17257470, buses=620
Iteration 124: time=23971462, buses=620
Iteration 125: time=17378408, buses=620
Iteration 126: time=18362458, buses=620
Iteration 127: time=18110947, buses=620
Iteration 128: time=23962614, buses=620
Iteration 129: time=17613192, buses=620
Iteration 130: time=17811118, buses=620
Iteration 131: time=17719354, buses=620
Iteration 132: time=23297340, buses=620
Iteration 133: time=17324968, buses=620
Iteration 134: time=18982117, buses=620
Iteration 135: time=17719354, buses=620
Iteration 136: time=23297340, buses=620
Iteration 137: time=17351104, buses=620
Iteration 138: time=18362458, buses=620
Iteration 139: time=18210142, buses=620
Iteration 140: time=23162550, buses=620
Iteration 141: time=17588753, buses=620
Iteration 142: time=17811118, buses=620
Iteration 143: time=17257470, buses=620
Iteration 144: time=23297340, buses=620
